ADD	thêm
Believe	Tin
Belong	Thuộc về
Bend	Uốn cong
Bend	uốn cong
Benefit	Lợi ích
Bet	Đánh cuộc
Bible	Kinh Thánh
Bid	Thầu
Bind	Buộc
Bite	Cắn
Blame	Khiển trách
Block	Khối
Blow	Thổi
Boast	Khoe khoan
Boil	Nhọt
Book	Sách
Book	sách
Boost	Tăng
Born	Sinh
Born	sinh
Borrow	Vay
Bother	Làm phiền
Bounce	Tung lên
Bound	Giới hạn
Bow	Cây cung
Break	Nghỉ
Breathe	Thở
Breed	Giống
Bring	Đem lại
British	người Anh
Brush	Bàn chải
Build	Xây dựng
Burn	Đốt cháy
Burst	Nổ
Bury	Chôn
Buy	Mua
CEO	CEO
Calculate	Tính toán
Call	Gọi
Call	gọi
Calm	Yên lặng
Campaign	Chiến dịch
Canadian	người Canada
Cancel	Hủy bỏ
Capture	Bắt
Care	Chăm sóc
Carry	Mang
Carve	Khắc
Cast	Đúc
Catch	Catch
Cater	Cung cấp
Catholic	Công giáo
Cause	Nguyên nhân
Cease	Ngừng
Celebrate	Tán dương
Centre	Trung tâm
Centre	Trung tâm
Challenge	Thách
Change	Thay đổi
Characterise	Đặc trưng
Characterize	Đặc trưng
Charge	Phí
Chase	Đuổi theo
Chase	đuổi theo
Chat	Trò chuyện
Check	Kiểm tra
Cheer	Vui lên
Chinese	Trung Quốc
Choose	Chọn
Christian	Christian
Christmas	Giáng Sinh
Circulate	Lưu hành
Cite	Dẫn chứng
Claim	Yêu cầu
Clarify	Lọc
Classify	Phân loại
Clean	Sạch
Clear	Trong sáng
Climb	Leo
Cling	Bám vào
Close	Gần
Clutch	Chân
Coincide	Phù hợp
Collapse	Sập
Collect	Sưu tầm
Colour	Màu
Combine	Phối hợp
Come	Đến
Command	Chỉ huy
Commence	Bắt đầu
Comment	Chú thích
Commission	Hoa hồng
Commit	Phạm
Communicate	Giao tiếp
Compare	So sánh
Compel	Bắt buộc
Compensate	Bù lại
Compete	Cạnh tranh
Compile	Biên soạn
Complain	Phàn nàn
Complete	Hoàn toàn
Comply	Tuân theo
Compose	Sáng tác
Comprise	Gồm có
Conceal	Giấu
Concede	Công nhận
Conceive	Nhận thức
Concentrate	Tập trung
Concern	Lo lắng
Conclude	Kết luận
Condemn	Lên án
Conduct	Hạnh kiểm
Confer	Trao
Confess	Thú nhận
Confine	Nhốt
Confirm	Xác nhận
Conform	Phù hợp
Confront	Đối chất
Confuse	Xáo trộn
Congress	Hội nghị
Connect	Liên kết
Consider	Xem xét
Consist	Gồm có
Constitute	Cấu tạo
Construct	Xây dựng
Consult	Tư vấn
Consume	Tiêu thụ
Contact	Tiếp xúc
Contain	Chứa
Contemplate	Ngắm
Continue	Tiếp tục
Contract	Hợp đồng
Contrast	Tương phản
Contribute	Góp phần
Control	Kiểm soát
Convert	Đổi
Convey	Chuyên chở
Convict	Người bị kết án
Convince	Thuyết phục
Cook	Nấu ăn
Cook	nấu ăn
Cool	Mát mẻ
Cope	Đương đầu
Copy	Bản sao
Correct	Đúng
Correspond	Tương ứng
Cost	Giá cả
Count	Đếm
Counter	Phản đối
Couple	Cặp vợ chồng
Cover	Che
Crack	Vết nứt
Crash	Tai nạn
Crawl	Bò
Create	Sáng tạo
Creep	Leo
Criticise	Chỉ trích
Criticize	Chỉ trích
Cross	Hội Chữ thập
Cross	Hội Chữ thập
Crush	Nghiền nát
Cry	Khóc
Curl	Curl
Curl	curl
Cut	Cắt
DNA	DNA
DO	làm
Damage	Tổn thất
Dance	Nhảy
Dare	Dám
Date	Ngày
Deal	Nhiều
Debate	Tranh luận
Decide	Quyết định
Declare	Khai
Decline	Từ chối
Decorate	Trang trí
Decrease	Giảm bớt
Dedicate	Dâng
Deem	Tưởng là
Defeat	Sự thất bại
Defend	Bảo vệ
Define	Định nghĩa
Delay	Chậm trễ
Deliver	Giao hàng
Demand	Nhu cầu
Democrat	Dân chủ
Demonstrate	Chứng minh
Deny	Từ chối
Depart	Khởi hành
Depend	Tùy theo
Depict	Miêu tả
Deposit	Tiền cọc
Deprive	Tước đoạt
Derive	Lấy được
Descend	Xuống
Describe	Miêu tả
Deserve	Xứng đáng
Design	Thiết kế
Desire	Khao khát
Destroy	Phá hủy
Detect	Tìm ra
Determine	Xác định
Develop	Phát triển
Devise	Phát minh
Devote	Cống hiến
Dictate	Bắt buộc
Die	Chết
Differ	Khác nhau
Differentiate	Phân biệt
Dig	Đào
Diminish	Bớt
Dip	Nhúng
Direct	Trực tiếp
Disagree	Không đồng ý
Disappear	Biến mất
Discharge	Phóng điện
Disclose	Tiết lộ
Discover	Khám phá
Discuss	Bàn luận
Dislike	Không thích
Dismiss	Bỏ qua
Display	Trưng bày
Dispose	Bố trí
Dissolve	Hòa tan
Distinguish	Phân biệt
Distribute	Phân phát
Disturb	Làm phiền
Divert	Làm chuyển hướng
Divide	Chia
Do	Làm
Dominate	Thống trị
Double	Đôi
Doubt	Nghi ngờ
Draft	Bản thảo
Drag	Kéo
Drain	Cống
Draw	Rút ra
Dream	Giấc mơ
Dress	Trang phục
Drift	Trôi giạt
Drink	Uống
Drive	Lái xe
Drop	Bỏ
Drown	Chết chìm
Dry	Khô
Dump	Bãi
Earn	Kiếm được
Ease	Làm dịu bớt
Eat	Ăn
Echo	Bắt chước
Echo	bắt chước
Edit	Chỉnh sửa
Educate	Giáo dục
Effect	Hiệu ứng
Elect	Đắc cử
Eliminate	Bỏ
Embark	Tham gia
Embody	Hiện thân
Embrace	Ôm hôn
Emerge	Hiện ra
Emphasise	Nhấn mạnh
Emphasize	Nhấn mạnh
Employ	Sử dụng
Enable	Cho phép
Enclose	Rào
Encounter	Gặp gỡ
Encourage	Khuyến khích
End	Đầu
Endorse	Thừa nhận
Enforce	Thi hành
Engage	Thuê
English	Anh
English	Anh
Enhance	Nâng cao
Enjoy	Thưởng thức
Enquire	Hỏi thăm
Ensure	Chắc chắn
Entail	Kéo theo
Enter	Vào
Entertain	Giải trí
Entitle	Cho phép
Envisage	Dự tính
Equip	Trang bị
Erect	Dựng lên
Escape	Trốn thoát
Establish	Thiết lập
Estimate	Ước tính
European	Châu Âu
Evaluate	Định
Evolve	Phát triển
Examine	Xem xét
Exceed	Quá
Exchange	Trao đổi
Exclude	Loại trừ
Excuse	Cớ
Execute	Thi hành
Exercise	Tập thể dục
Exert	Gắng sức
Exhaust	Thoát ra
Exhibit	Tang vật
Exist	Tồn tại
Expand	Phát triển
Expect	Chờ đợi
Experience	Kinh nghiệm
Explain	Giải thích
Explod e	Phát nổ
Exploit	Khai thác
Explore	Khám phá
Export	Xuất khẩu
Expose	Lộ ra
Express	Phát biểu
Extend	Mở rộng
Extract	Lấy
FALSE	SAI
FALSE	FALSE
Face	Mặt
Facilitate	Thuận tiện
Fade	Phai
Fail	Thất bại
Fall	Rơi
Fall	rơi
Fancy	Tưởng tượng
Favour	Ủng hộ
Fear	Sợ
Feature	Đặc tính
Feed	Nuôi
Feel	Cảm
Fetch	Lấy
Fight	Cuộc chiến đấu
Figure	Nhân vật
File	Hồ sơ
Fill	Lấp đầy
Finance	Tài chánh
Find	Tìm thấy
Fine	Tốt
Finish	Hoàn thành
Fire	Cháy
Fit	Phù hợp
Fix	Sửa chữa
Flash	Đèn flash
Flee	Trốn
Fling	Quăng ra
Float	Phao
Flood	Lũ
Flow	Chảy ra
Fly	Bay
Focus	Tiêu điểm
Fold	Gập lại
Follow	Theo
Forbid	Cấm
Force	Lực lượng
Forget	Quên
Forgive	Tha thứ
Form	Hình thức
Formulate	Xây dựng
Found	Tìm thấy
Free	Tự do
Freeze	Đông lại
French	người Pháp
Frighten	Hoảng sợ
Frown	Cau mày
Fulfil	Thực hiện
Function	Hàm số
Fund	Quỹ
Gain	Lợi
Gasp	Giựt mình
Gather	Tụ họp
Gaze	Cái nhìn đăm đăm
Generate	Phát ra
German	tiếng Đức
Get	Được
Give	Cho
Glance	Nhìn thoáng qua
Go	Đi
Going	Đi
Govern	Quản lý
Grab	Chụp lấy
Grant	Grant
Grant	Grant
Grasp	Sự hiểu biết
Greet	Chào
Grin	Cười toét miệng
Grip	Va li
Grow	Lớn lên
Guarantee	Bảo hành
Guard	Bảo vệ
Guess	Phỏng đoán
Guide	Hướng dẫn
Halt	Tạm dừng lại
Hand	Tay
Handle	Xử lý
Hang	Treo
Happen	Xảy ra
Hate	Ghét
Have	Có
Head	Đầu
Hear	Nghe
Heat	Nhiệt
Help	Giúp
Hesitate	Do dự
Hide	Giấu
Highlight	Điểm nổi bật
Hire	Thuê
Hit	Đánh
Hold	Giữ
Honour	Danh dự
Hope	Hy vọng
Hope	hy vọng
House	Nhà
Hunt	Săn bắn
Hunt	săn bắn
Hurry	Vội
Hurt	Đau
I	tôi
IN	IN
Identify	Xác định
Ignore	Bỏ qua
Illustrate	Minh họa
Imagine	Tưởng tượng
Implement	Bổ sung
Imply	Nghĩa là
Import	Nhập khẩu
Impose	Áp đặt
Impress	Gây ấn tượng
Improve	Nâng cao
In	In
Include	Bao gồm
Incorporate	Kết hợp
Increase	Tăng lên
Incur	Chịu
Indian	người Ấn Độ
Indian	người Ấn Độ
Indicate	Chỉ
Induce	Xúi
Influence	Ảnh hưởng
Inform	Báo
Inherit	Thừa kế
Inhibit	Cản trở
Initiate	Bắt đầu
Injure	Tổn thương
Insert	Chèn
Insist	Nhấn mạnh
Inspect	Thanh tra
Inspire	Cảm hứng
Install	Đặt
Instruct	Dạy
Integrate	Tích hợp
Intend	Có ý định
Interfere	Can thiệp vào
Internet	Internet
Interpret	Giải thích
Interrupt	Làm gián đoạn
Intervene	Can thiệp vào
Interview	Phỏng vấn
Introduce	Giới thiệu
Invent	Phát minh
Invest	Đầu tư
Investigate	Nghiên cứu
Invite	Mời
Involve	Liên quan đến
Iraqi	Iraqi
Islamic	Hồi giáo
Isolate	Cô lập
Israeli	Israeli
Issue	Vấn đề
Italian	người Ý
Japanese	tiếng Nhật
Jew	Người Do Thái
Jewish	Người Do thái
Join	Ghép
Judge	Thẩm phán
Jump	Nhảy
Justify	Biện hộ
Keep	Giữ
Kick	Đá
Kill	Giết
Kiss	Hôn
Knit	Đan
Knock	Đập
Know	Biết
LET	CHO
Label	Nhãn
Lack	Tình trạng thiếu
Land	Đất
Land	đất
Last	Cuối cùng
Latin	Latin
Laugh	Cười
Launch	Phóng
Lay	Nằm xuống
Lead	Chì
Lean	Gầy
Leap	Nhảy
Learn	Học hỏi
Leave	Rời khỏi
Lend	Cho vay
Let	Cho
Lie	Nói dối
Lie	nói dối
Lift	Thang máy
Light	Ánh sáng
Light	ánh sáng
Like	Như
Limit	Giới hạn
Line	Hàng
Link	Liên kết
List	Danh sách
Listen	Nghe
Live	Sống
Load	Tải
Locate	Định vị trí
Lock	Khóa
Long	Dài
Look	Nhìn
Lose	Mất
Love	Yêu
Lower	Thấp hơn
MArch	tháng ba
Maintain	Duy trì
Make	Làm
Manage	Quản lý
Manipulate	Vận dụng
Manufacture	Chế tạo
March	Tháng ba
Mark	Dấu
Mark	dấu
Market	Thị trường
Marry	Kết hôn
Match	Trận đấu
Matter	Chất
Mean	Nghĩa là
Measure	Đo
Meet	Gặp
Melt	Làm tan
Mention	Đề cập đến
Merge	Hợp nhất
Mexican	Mexico
Mind	Nhớ
Miss	Hỏng
Miss	hỏng
Mix	Pha
Modify	Sửa đổi
Monitor	Monitor
Monitor	Monitor
Motivate	Động viên
Mount	Núi
Move	Hành động
Mr	Ông
Mrs	Bà
Ms	Cô
Multiply	Nhân
Murder	Tội giết người
Murmur	Tiếng thì thầm
Muslim	Hồi giáo
Mutter	Lầm bầm
Name	Tên
Narrow	Hẹp
Need	Cần
Neglect	Bỏ mặc
Negotiate	Đàm phán
Nod	Gật đầu
Note	Chú ý
Notice	Nhận thấy
Obey	Vâng lời
Object	Vật
Observe	Quan sát
Obtain	Được
Occupy	Chiếm
Occur	Xảy ra
Offer	Phục vụ
Olympic	Olympic
Omit	Quên
Open	Mở
Operate	Chạy
Oppose	Đối lại
Opt	Opt
Order	Trật tự
Order	trật tự
Organise	Tổ chức
Organize	Tổ chức
Originate	Bắt đầu
Outline	Đại cương
Overcome	Vượt qua
Overlook	Bỏ qua
Owe	Nợ
Own	Riêng
PIN	PIN
PM	PM
Pack	Gói
Paint	Sơn
Palestinian	Palestine
Park	Công viên
Park	công viên
Part	Phần
Participate	Tham dự
Pass	Vượt qua
Pause	Tạm ngừng
Pay	Trả
Peer	Ngang nhau
Penetrate	Xuyên qua
Perceive	Nhận thức
Perform	Thực hiện
Permit	Giấy phép
Persist	Kiên gan
Persuade	Khuyên
Phone	Điện thoại
Pick	Nhặt
Picture	Hình ảnh
Pin	Pin
Place	Nơi
Plan	Kế hoạch
Plant	Cây
Play	Chơi
Plead	Biện hộ
Please	Xin vui lòng
Plunge	Lao mình xuống
Point	Điểm
Pop	Pop
Pose	Gây ra
Position	Vị trí
Possess	Có
Pour	Đổ vào
Practise	Tập luyện
Praise	Lời khen ngợi
Pray	Cầu nguyện
Precede	Đứng trước
Predict	Dự đoán
Prefer	Thích
Prepare	Chuẩn bị
Prescribe	Qui định
Present	Hiện tại
Preserve	Bảo tồn
Press	Báo chí
Presume	Đoán chừng
Pretend	Giả vờ
Prevail	Chiếm ưu thế
Prevent	Phòng ngừa
Price	Giá
Price	giá
Print	In
Proceed	Tiến hành
Process	Quá trình
Proclaim	Công bố
Produce	Sản xuất
Progress	Tiến bộ
Project	Dự án
Promise	Hứa
Promote	Khuyến khích
Prompt	Nhanh chóng
Pronounce	Phát âm
Propose	Đề xuất
Protect	Bảo vệ
Protest	Phản đối
Prove	Chứng minh
Provide	Cung cấp
Provoke	Chọc giận
Publish	Xuất bản
Pull	Kéo
Punish	Trừng phạt
Purchase	Mua
Pursue	Theo đuổi
Push	Đẩy
Put	Đặt
Qualify	Đủ điều kiện
Question	Câu hỏi
Quote	Quote
Race	Cuộc đua
Rain	Mưa
Raise	Nâng cao
Range	Khoảng cách
Rate	Tốc độ
Reach	Đến
React	Phản ứng
Read	Đọc
Realise	Thực hiện
Realize	Thực hiện
Reassure	Trấn an
Rebuild	Xây dựng lại
Recall	Triệu hồi
Receive	Nhận
Reckon	Tính
Recognise	Công nhận
Recognize	Công nhận
Recommend	Giới thiệu
Record	Kỷ lục
Recover	Lấy lại
Recruit	Tuyển mộ
Reduce	Giảm
Refer	Tham khảo
Reflect	Suy nghĩ
Refuse	Từ chối
Regain	Lấy lại
Regard	Về vấn đề
Register	Đăng ký
Regret	Hối tiếc
Regulate	Chỉnh đốn
Reinforce	Củng cố
Reject	Từ chối
Relate	Quan hệ
Relax	Thư giãn
Release	Phóng thích
Relieve	Giảm
Rely	Tin cậy
Remain	Còn lại
Remark	Chú ý
Remember	Nhớ lại
Remind	Nhắc lại
Remove	Tẩy
Render	Trả lại
Renew	Đổi mới
Rent	Thuê
Repair	Sửa
Repeat	Lặp lại
Replace	Thay thế
Reply	Đáp lại
Report	Báo cáo
Represent	Đại diện
Reproduce	Sao lại
Republican	Đảng Cộng hòa
Request	Yêu cầu
Require	Yêu cầu
Rescue	Giải thoát
Research	Nghiên cứu
Resemble	Giống nhau
Reserve	Dự trữ
Resign	Từ bỏ
Resist	Chống cự
Resolve	Giải quyết
Respect	Tôn trọng
Respond	Trả lời
Rest	Còn lại
Restore	Khôi phục
Restrict	Hạn chế
Result	Kết quả
Resume	Sơ yếu lý lịch
Retain	Giữ lại
Retire	Về hưu
Return	Trở về
Reveal	Tiết lộ
Reverse	Đảo ngược
Review	Xem lại
Revise	Xem lại
Revive	Sống lại
Reward	Tưởng thưởng
Rid	Rid
Ride	Đi chơi
Ring	Vòng
Rip	Đường rách
Rise	Tăng lên
Risk	Nguy cơ
Roll	Cuộn
Round	Tròn
Rub	Chà
Rule	Nguyên tắc
Run	Chạy
Rush	Vội vàng
Rush	vội vàng
Russian	Người Nga
SEAL	SEAL
SHAPE	SHAPE
Sack	Bao
Sail	Đi thuyền
Satisfy	Làm vui lòng
Save	Tiết kiệm
Say	Nói
Scan	Quét
Scatter	Chạy tán loạn
Schedule	Lịch trình
Score	Số điểm
Scratch	Vết trầy
Scream	Hét lên
Seal	Seal
Search	Tìm kiếm
Secure	Chắc chắn
See	Thấy
Seek	Tìm kiếm
Seem	Hình như
Seize	Chiếm
Select	Lựa chọn
Sell	Bán
Senate	Thượng nghị viện
Send	Gởi
Sense	Ý nghĩa
Sentence	Câu văn
Separate	Riêng biệt
Serve	Phục vụ
Set	Thiết
Set	thiết
Settle	Giải quyết
Shake	Rung chuyển
Shape	Shape
Share	Phần
Shed	Rụng
Shift	Sự thay đổi
Shine	Ánh sáng
Ship	Tàu
Shiver	Làm bể
Shoot	Bắn
Shop	Cửa hàng
Shout	Kêu la
Show	Hiển thị
Shrug	Nhún vai
Shut	Đóng
Sigh	Tiếng thở dài
Sign	Dấu
Signal	Tín hiệu
Sing	Hát
Sink	Bồn rửa
Sit	Ngồi
Situate	Đặt vị trí
Slam	Tiếng đập cửa
Sleep	Ngủ
Slide	Trượt
Slip	Trượt
Slow	Chậm
Smash	Làm thất bại
Smell	Mùi
Smile	Nụ cười
Smoke	Khói
Snap	Chụp
Solve	Giải quyết
Sort	Loại
Sound	Âm thanh
Soviet	Liên Xô
Spanish	người Tây Ban Nha
Spare	Thay thế
Speak	Nói
Specify	Xác định
Speed	Tốc độ
Spell	Đánh vần
Spend	Tiêu
Spill	Làm đổ
Spin	Quay
Split	Chẻ
Split	chẻ
Spoil	Cướp bóc
Sponsor	Nhà tài trợ
Spot	Đốm
Spread	Lan tràn
Spring	Mùa xuân
Squeeze	Ép
Stage	Sân khấu
Stand	Đứng
Stare	Nhìn chằm chằm
Start	Bắt đầu
State	Trạng thái
State	trạng thái
Stay	Ở lại
Steal	Ăn cắp
Stem	Thân cây
Step	Bước đi
Stick	Gậy
Stimulate	Kích thích
Stir	Sự náo động
Stop	Dừng lại
Store	Cửa hàng
Strain	Sự căng thẳng
Strengthen	Tăng cường
Stress	Nhấn mạnh
Stretch	Căng ra
Strike	Đình công
Strip	Dải
Stroke	Cú đánh
Struggle	Cuộc tranh đấu
Study	Nghiên cứu
Subject	Vấn đề
Submit	Đệ trình
Substitute	Thay thế
Succeed	Thành công
Suck	Hút
Sue	Kiện người nào
Sue	kiện người nào
Suffer	Bị
Suggest	Đề nghị
Suit	Bộ đồ
Sum	Tổng số
Summon	Gọi
Supervise	Giám sát
Supplement	Phần bổ sung
Supply	Cung cấp
Support	Ủng hộ
Suppose	Giả sử
Suppress	Đàn áp
Supreme	Tối cao
Surprise	Sự ngạc nhiên
Surround	Surround
Survive	Sống sót
Suspect	Nghi ngờ
Suspend	Đình chỉ
Sustain	Chịu được
Swallow	Nuốt
Swear	Thề
Sweep	Quét
Swim	Bơi
Swing	Lung lay
Switch	Công tắc
TRUE	THẬT
TRUE	TRUE
TV	TV
Tackle	Giải quyết
Take	Lấy
Talk	Nói chuyện
Tap	Vòi nước
Target	Mục tiêu
Taste	Mùi vị
Tax	Thuế
Teach	Dạy
Teach	dạy
Tear	Xé rách
Telephone	Điện thoại
Tell	Nói
Tell	nói
Tempt	Dụ dổ
Tend	Có xu hướng
Term	Kỳ hạn
Test	Thử
Thank	Cảm tạ
Think	Nghĩ
Threaten	Hăm dọa
Throw	Ném
Thrust	Đẩy
Tie	Tie
Tighten	Thắt chặt
Time	Thời gian
Tip	Đầu
Top	Đỉnh
Toss	Quăng
Touch	Chạm
Tour	Chuyến du lịch
Trace	Dấu vết
Trade	Buôn bán
Train	Xe lửa
Transfer	Chuyển nhượng
Transform	Biến đổi
Translate	Dịch
Transmit	Chuyển giao
Transport	Giao thông vận tải
Trap	Bẩy
Travel	Đi du lịch
Treat	Đãi
Tremble	Rung rinh
Trust	Lòng tin
Try	Thử
Tuck	Xếp nếp
Turn	Xoay
Twist	Xoắn
Từ tục nên xóa	Quái
Undergo	Trải qua
Underline	Nhấn mạnh
Undermine	Phá hoại
Understand	Hiểu
Undertake	Đảm đương
Unite	Đoàn kết
United	United
Update	Cập nhật
Upset	Khó chịu
Urge	Thúc giục
Use	Dùng
Value	Giá trị
Vanish	Biến mất
Vary	Khác nhau
View	Quang cảnh
Visit	Lần
Voice	Tiếng nói
Vote	Bỏ phiếu
Wait	Đợi
Wake	Wake
Wake	Wake
Walk	Đi bộ
Wander	Đi lang thang
Want	Muốn
Warm	Nóng
Warn	Cảnh báo
Wash	Rửa
Waste	Chất thải
Watch	Xem
Wave	Sóng
Wave	sóng
Weaken	Suy yếu
Wear	Dùng
Weigh	Cân
Welcome	Hoan nghênh
Whisper	Thì thầm
Widen	Mở rộng
Win	Thắng lợi
Wind	Gió
Wipe	Lau
Wish	Muốn
Withdraw	Rút
Witness	Làm chứng
Wonder	Ngạc nhiên
Work	Làm việc
Worry	Lo
Wrap	Bọc
Write	Viết
Yield	Năng suất
a	một
abandon	từ bỏ
abandon	bỏ
ability	có khả năng
able	có thể
able	thể
abolish	bỏ
abortion	sự phá thai
about	trong khoảng
about	trong khoảng
above	ở trên
above	ở trên
absence	vắng mặt
absolutely	chắc chắn rồi
absorb	hấp thụ
abuse	lạm dụng
abuse	lạm dụng
academic	học tập
accept	Chấp nhận
accept	chấp nhận
acceptable	chấp nhận được
access	truy cập
access	quyền
accident	Tai nạn
accommodate	chứa
accompany	đi kèm
accompany	hộ tống
accomplish	hoàn thành
according	theo
according	theo
account	tài khoản
account	tài khoản
account	trương mục
accumulate	tích trữ
accurate	chính xác
accurate	chính xác
accuse	tố cáo
accuse	tố cáo
achieve	Hoàn thành
achieve	hoàn thành
achievement	thành tích
acknowledge	công nhận
acknowledge	công nhận
acquire	có được, thu được
acquire	mua
across	băng qua
act	hành động
act	hành động
act	hành động
action	hoạt động
action	hành động
activate	hoạt động
active	đang hoạt động
active	hoạt động
activist	nhà hoạt động
activity	Hoạt động
actor	diễn viên
actual	thực tế
actual	thực tế
actually	thực ra
ad	quảng cáo
adapt	phỏng theo
add	thêm vào
addition	thêm vào
additional	bổ sung
additional	thêm
address	địa chỉ nhà
address	địa chỉ nhà
address	địa chỉ
adjust	điều chỉnh
adjust	điều chỉnh
administer	thi hành
administration	quản trị
administrative	hành chính
administrator	người quản lý
admire	ngưỡng mộ
admit	thừa nhận
admit	thừa nhận
adopt	thông qua
adopt	nhận nuôi
adult	người lớn
adult	người lớn
advance	nâng cao
advance	nâng cao
advance	trước
advanced	nâng cao
advantage	lợi thế
adventure	cuộc phiêu lưu
advertise	quảng cáo
advertising	quảng cáo
advice	khuyên bảo
advise	khuyên nhủ
advise	khuyến cáo
adviser	cố vấn
advocate	biện hộ
advocate	người bênh vực
affair	chuyện
affect	có ảnh hưởng đến
affect	có ảnh hưởng đến
afford	đủ khả năng
afford	đủ khả năng
afraid	sợ
afraid	sợ
after	sau
after	sau
after	sau
afternoon	buổi chiều
afternoon	buổi chiều
again	lần nữa
against	chống lại
age	tuổi tác
age	tuổi
agency	đại lý
agenda	chương trình nghị sự
agent	đặc vụ
agent	đại lý
aggressive	xâm lược
aggressive	tích cực
ago	trước
ago	trước
agree	đồng ý
agree	đồng ý
agreement	thỏa thuận
ahead	phía trước
ahead	phía trước
aid	viện trợ
aid	viện trợ
aim	mục đích
aim	mục tiêu
air	không khí
aircraft	phi cơ
airline	hãng hàng không
airline	hãng hàng không
airport	sân bay
album	album
alcohol	rượu
alert	báo động
alive	sống sót
alive	sống
all	tất cả các
all	tất cả các
all	tất cả
allege	quả quyết
allocate	chỉ định
allow	cho phép
allow	cho phép
ally	đồng minh
almost	hầu hết
alone	một mình
alone	một mình
alone	một mình
along	dọc theo
along	dọc theo
already	đã
also	cũng thế
alter	thay đổi
alter	thay đổi
alternative	thay thế
alternative	thay thế
alternative	thay thế
although	mặc dù
always	luôn luôn
amazing	kinh ngạc
amazing	tuyệt vời
amend	tu chính
among	trong số
amount	số lượng
amount	lượng
analyse	phân tích
analysis	phân tích
analyst	nhà phân tích
analyze	phân tích
ancient	xưa
and	và
anger	Sự phẫn nộ
angry	bực bội
angry	tức giận
animal	thú vật
animal	động vật
announce	tuyên bố
announce	thông báo
annual	hàng năm
annual	hàng năm
another	khác
another	khác
another	khác
answer	câu trả lời
answer	câu trả lời
answer	câu trả lời
anticipate	đi trước
anxiety	sự lo ngại
anxious	lo lắng
any	bất kì
any	bất kỳ
anybody	bất kỳ ai
anymore	nữa không
anyone	bất kỳ ai
anything	bất cứ điều gì
anyway	dù sao
anywhere	ở đâu
apart	xa nhau
apart	ngoài
apartment	căn hộ, chung cư
apparent	rõ ràng
apparently	dường như
appeal	kháng cáo
appeal	kháng cáo
appeal	kháng cáo
appear	xuất hiện
appear	xuất hiện
appearance	xuất hiện
apple	táo
application	ứng dụng
apply	ứng dụng
apply	ứng dụng
appoint	bổ nhiệm
appreciate	đánh giá
appreciate	đánh giá
approach	tiếp cận
approach	tiếp cận
approach	phương pháp tiếp cận
appropriate	thích hợp
appropriate	thích hợp
approval	sự chấp thuận
approve	tán thành
approve	phê duyệt
approximately	xấp xỉ
area	khu vực
argue	tranh luận
argue	tranh luận
argument	tranh luận
arise	nảy sinh
arise	nổi lên
arm	cánh tay
arm	cánh tay
armed	trang bị
army	quân đội
around	xung quanh
around	xung quanh
arouse	đánh thức
arrange	sắp xếp
arrange	sắp xếp
arrangement	sắp xếp
arrest	bắt giữ
arrest	bắt giữ
arrive	đến nơi
arrive	đến
art	nghệ thuật
article	bài báo
artist	họa sĩ
as	như
as	như
as	như
aside	qua một bên
ask	hỏi
ask	hỏi
asleep	ngủ
aspect	khía cạnh
assault	tấn công
